"죄종별(1)",죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,1일이내,2일이내,3일이내,10일이내,1개월이내,3개월이내,6개월이내,1년이내,1년초과,계,1일이내,2일이내,3일이내,10일이내,1개월이내,3개월이내,6개월이내,1년이내,1년초과,계,1일이내,2일이내,3일이내,10일이내,1개월이내,3개월이내,6개월이내,1년이내,1년초과,계,1일이내,2일이내,3일이내,10일이내,1개월이내,3개월이내,6개월이내,1년이내,1년초과,계,1일이내,2일이내,3일이내,10일이내,1개월이내,3개월이내,6개월이내,1년이내,1년초과
"지능범죄",사기,202300,12127,532,645,4822,27244,55120,28422,22883,50505,225121,12011,664,692,6075,33743,68132,33317,23697,46790,237407,10824,1024,976,8093,33552,74422,40292,24096,44128,180418,7074,816,699,5761,22452,55517,33997,23389,30713,191900,7891,550,560,4686,22569,61598,37454,26005,30587
"지능범죄",횡령,27107,1400,238,266,2176,4773,5108,2779,2872,7495,27091,1371,260,269,2495,5420,5793,2775,2466,6242,27883,1235,239,316,2590,5764,6387,2796,2393,6163,23124,908,158,236,2371,5549,6254,2394,1574,3680,25548,914,162,229,2232,5998,7639,3034,1840,3500
"지능범죄",배임,3904,10,4,2,19,137,543,567,546,2076,4065,12,6,1,29,168,508,398,539,2404,3545,10,1,-,24,177,502,407,458,1966,3027,9,2,1,21,143,613,385,578,1275,2823,15,3,1,19,143,672,545,394,1031
"풍속범죄",소계,18390,5898,166,215,1338,2657,3268,1564,1208,2076,19279,5508,172,209,1364,2656,3322,2293,1813,1942,20514,4860,296,274,1388,2692,4022,2307,2569,2106,20139,3576,127,141,1153,2600,5192,3227,1925,2198,22384,3304,102,129,1462,2441,7476,3511,2156,1803
"풍속범죄",성풍속범죄,12505,3798,110,137,870,2148,2774,1139,598,931,11452,3432,95,118,838,1888,2420,1161,712,788,12625,2714,242,183,894,2084,3167,1467,1082,792,13988,2344,97,93,751,2048,4478,2177,991,1009,18127,2354,78,87,697,2048,6937,3233,1694,999
"풍속범죄",도박범죄,5885,2100,56,78,468,509,494,425,610,1145,7827,2076,77,91,526,768,902,1132,1101,1154,7889,2146,54,91,494,608,855,840,1487,1314,6151,1232,30,48,402,552,714,1050,934,1189,4257,950,24,42,765,393,539,278,462,804
"특별경제범죄",소계,46222,14020,220,333,2107,5980,9048,4582,3889,6043,44878,13273,280,346,2516,6948,9351,4475,2858,4831,41802,11024,241,337,2635,6530,9390,4263,2826,4556,34525,7352,145,231,2136,5298,8400,4723,2896,3344,39078,8352,140,227,1871,6103,9451,5434,3888,3612
"마약범죄",소계,6168,1238,105,94,368,728,1426,914,677,618,7588,1561,120,88,424,949,1680,1134,972,660,8707,1776,135,108,483,1133,1841,1269,1085,877,7569,1480,127,89,352,911,1680,1247,999,684,9881,1850,135,101,458,1082,1758,1485,1586,1426
"보건범죄",소계,10724,836,134,144,1469,2939,2571,1016,574,1041,12289,1068,168,206,1828,3467,2903,1136,615,898,14121,946,218,248,2381,4318,3347,1138,849,676,16229,1177,151,190,2135,5356,4635,1201,773,611,16807,1612,152,168,1870,4501,4832,1919,1151,602
"환경범죄",소계,4662,153,32,41,336,1081,1069,566,460,924,3716,165,41,49,451,1139,1108,329,197,237,3350,118,34,47,395,1012,985,397,175,187,3457,124,43,33,376,1045,1121,403,157,155,3086,125,28,29,354,892,928,386,151,193
"교통범죄",소계,397277,243517,12616,14479,57710,45890,16997,2877,1420,1771,367602,212575,11124,13470,58549,49544,17682,2427,1102,1129,339921,185328,10051,12468,56733,51175,19430,2695,1035,1006,300680,156195,7898,9994,49956,49943,21109,3318,1076,1191,233413,126526,5001,6557,32045,37315,19443,3876,1419,1231
"노동범죄",소계,1851,57,4,5,57,102,180,163,338,945,932,36,3,5,40,94,153,103,140,358,319,21,2,3,26,49,66,36,40,76,383,13,2,1,14,66,100,65,61,61,686,6,2,2,21,71,151,137,183,113
"안보범죄",소계,50,7,-,-,2,3,6,6,5,21,156,15,1,-,2,7,8,19,25,79,166,5,-,-,2,13,7,24,41,74,150,2,1,-,1,12,23,15,15,81,169,6,1,1,6,5,50,12,14,74
"선거범죄",소계,1746,93,12,12,52,353,696,341,122,65,587,10,-,3,13,68,223,150,66,54,731,81,8,10,42,127,254,138,43,28,199,23,4,4,23,31,61,35,7,11,2179,193,47,42,201,432,692,415,112,45
"병역범죄",소계,13137,119,77,88,735,2876,5602,1717,876,1047,11742,148,116,121,989,2795,4552,1365,770,886,3032,22,16,16,159,509,944,516,369,481,1365,11,4,9,85,194,336,202,157,367,3850,77,74,74,651,1050,1122,297,137,368
"기타범죄",소계,198903,37044,1788,2215,17184,31874,37918,21090,18040,31750,214965,36444,2066,2380,19469,35615,44738,24631,20338,29284,211841,32029,1826,2624,19218,36241,44181,23193,20119,32410,210383,29528,1434,1800,17524,36816,47162,28589,21875,25655,225975,31021,1550,1884,16670,40628,53418,28815,22825,29164
