"죄종별(1)",죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,현행범,신고,신고,신고,신고,신고,신고,신고,미신고,미신고,미신고,미신고,미신고,미신고,미신고,계,현행범,신고,신고,신고,신고,신고,신고,신고,미신고,미신고,미신고,미신고,미신고,미신고,미신고,계,현행범,신고,신고,신고,신고,신고,신고,신고,미신고,미신고,미신고,미신고,미신고,미신고,미신고,계,현행범,신고,신고,신고,신고,신고,신고,신고,미신고,미신고,미신고,미신고,미신고,미신고,미신고,계,현행범,신고,신고,신고,신고,신고,신고,신고,미신고,미신고,미신고,미신고,미신고,미신고,미신고
"죄종별(1)",죄종별(2),소계,소계,소계,피해자신고,고소,고발,자수,진정투서,타인신고,소계,불심검문,피해품발견,변사체,탐문정보,여죄,기타,소계,소계,소계,피해자신고,고소,고발,자수,진정투서,타인신고,소계,불심검문,피해품발견,변사체,탐문정보,여죄,기타,소계,소계,소계,피해자신고,고소,고발,자수,진정투서,타인신고,소계,불심검문,피해품발견,변사체,탐문정보,여죄,기타,소계,소계,소계,피해자신고,고소,고발,자수,진정투서,타인신고,소계,불심검문,피해품발견,변사체,탐문정보,여죄,기타,소계,소계,소계,피해자신고,고소,고발,자수,진정투서,타인신고,소계,불심검문,피해품발견,변사체,탐문정보,여죄,기타
"지능범죄",증수뢰,347,1,145,1,29,70,2,40,3,201,-,-,-,122,41,38,260,1,133,4,25,60,-,41,3,126,1,-,-,77,3,45,289,2,164,1,25,75,1,57,5,123,-,-,-,72,6,45,402,1,153,1,33,76,-,38,5,248,-,-,-,58,164,26,320,0,229,1,56,119,1,48,4,91,-,-,-,67,1,23
"지능범죄",통화,1194,2,1119,281,2,258,-,364,214,73,1,1,-,4,-,67,980,2,906,237,2,163,-,271,233,72,1,3,-,5,-,63,626,1,582,133,-,83,-,195,171,43,-,4,-,3,-,36,376,-,357,85,-,40,-,117,115,19,-,1,-,-,-,18,452,2,433,108,2,48,-,132,143,17,-,1,-,3,-,13
"지능범죄",문서・인장,12290,128,9967,236,6764,975,3,1180,809,2195,65,7,-,107,1688,328,11343,137,10587,259,7124,1159,12,1214,819,619,71,-,-,108,45,395,11533,70,11021,269,7193,1157,9,1636,757,442,66,1,-,61,58,256,10472,48,9685,231,6169,1131,2,1739,413,739,52,-,-,51,459,177,11259,81,10545,298,6324,1349,11,1959,604,633,55,2,-,69,235,272
"지능범죄",유가증권인지,197,4,174,25,90,47,-,4,8,19,-,-,-,5,1,13,140,-,130,24,85,6,-,2,13,10,-,-,-,2,1,7,84,1,78,13,52,6,-,4,3,5,-,-,-,2,-,3,63,1,60,15,30,5,1,4,5,2,-,-,-,1,-,1,58,2,53,7,27,4,-,3,12,3,-,-,-,-,-,3
"지능범죄",사기,270029,8648,253506,30328,102829,1181,67,118325,776,7875,86,13,-,1897,3069,2810,304472,8592,288762,37515,107078,1608,149,141482,930,7118,41,13,-,1651,1747,3666,347675,7126,332560,46743,113774,1763,225,169321,734,7989,34,9,-,1739,2722,3485,294075,4138,283000,46326,88787,1768,369,144860,890,6937,26,15,1,1092,2853,2950,325848,5145,316451,47782,102453,2171,478,162610,957,4252,34,8,-,592,1291,2327
"지능범죄",횡령,55113,339,52108,33189,15044,821,50,2564,440,2666,82,209,-,910,993,472,58508,338,56665,37872,14803,916,64,2593,417,1505,62,176,-,611,242,414,58889,290,57283,37417,15205,935,83,3180,463,1316,43,181,-,383,431,278,50421,224,49715,32926,12165,767,60,3431,366,482,14,71,-,200,53,144,60220,227,59524,39927,13532,952,66,4570,477,469,14,101,-,113,75,166
"지능범죄",배임,4344,-,3797,5,3294,434,-,59,5,547,-,-,-,101,395,51,4566,1,3993,9,3427,470,1,79,7,572,-,-,-,81,462,29,4092,-,4001,13,3293,631,2,60,2,91,-,-,-,64,1,26,3466,-,3120,6,2462,571,-,73,8,346,-,1,-,47,270,28,3606,0,3537,9,2770,658,2,91,7,69,-,-,-,48,3,18
"풍속범죄",소계,20162,3018,9635,4230,1545,200,42,992,2626,7509,117,1,-,1884,987,4520,21153,2770,10645,4533,1820,182,52,1085,2973,7738,103,2,-,2304,991,4338,22632,2111,11736,4363,2461,274,79,1703,2856,8785,79,1,-,1598,1073,6034,23360,1626,15231,4295,5170,231,90,2682,2763,6503,65,2,-,1040,1503,3893,27113,1560,21262,4584,8654,298,64,5151,2511,4291,79,2,0,500,365,3345
"풍속범죄",성풍속범죄,14158,1974,7483,4041,1522,127,23,803,967,4701,105,1,-,1230,902,2463,13145,1797,8215,4266,1799,109,26,833,1182,3133,82,2,-,779,823,1447,14497,1298,9256,4060,2423,160,42,1379,1192,3943,70,1,-,595,663,2614,16969,1112,13088,4002,5141,163,44,2427,1311,2769,56,2,-,345,619,1747,22650,1175,19464,4329,8621,176,46,4914,1378,2011,70,2,0,181,214,1544
"풍속범죄",도박범죄,6004,1044,2152,189,23,73,19,189,1659,2808,12,-,-,654,85,2057,8008,973,2430,267,21,73,26,252,1791,4605,21,-,-,1525,168,2891,8135,813,2480,303,38,114,37,324,1664,4842,9,-,-,1003,410,3420,6391,514,2143,293,29,68,46,255,1452,3734,9,-,-,695,884,2146,4463,385,1798,255,33,122,18,237,1133,2280,9,-,0,319,151,1801
"특별경제범죄",소계,53994,11837,36921,8011,17238,4953,63,5693,963,5236,76,7,-,1106,2396,1651,51400,11230,37324,8841,16078,5132,69,6032,1172,2846,169,8,-,967,240,1462,47826,9383,35873,9075,15387,4472,54,5819,1066,2570,96,1,-,671,355,1447,40708,6201,32251,8081,13642,3683,84,5353,1408,2256,16,2,-,438,649,1151,48615,7156,39385,8423,17478,4010,72,8341,1061,2074,140,20,0,295,543,1076
"마약범죄",소계,6513,228,1324,90,16,96,289,30,803,4961,157,10,4,1842,259,2689,8038,221,1516,134,20,124,377,37,824,6301,182,7,4,2212,262,3634,9186,287,1810,125,27,223,414,129,892,7089,261,10,-,2005,380,4433,8088,275,2037,156,23,224,473,149,1012,5776,111,4,-,1218,525,3918,10331,358,2244,201,26,201,484,163,1169,7729,211,6,3,1154,1029,5326
"보건범죄",소계,11033,421,9357,423,442,5201,6,810,2475,1255,45,1,-,221,28,960,12570,645,10233,604,453,4839,7,1124,3206,1692,100,1,1,270,117,1203,14595,442,12154,545,459,6198,6,1500,3446,1999,70,-,1,269,454,1205,16936,306,14296,422,432,8589,10,1374,3469,2334,171,-,1,137,276,1749,17749,280,15355,532,518,8045,18,1092,5150,2114,101,0,4,97,445,1467
"환경범죄",소계,4791,11,2981,49,79,2355,3,129,366,1799,89,-,-,81,1137,492,3877,15,3479,59,103,2670,8,174,465,383,79,-,-,78,8,218,3568,4,3130,64,99,2517,7,145,298,434,66,-,-,55,70,243,3656,8,3346,44,78,2853,2,116,253,302,27,-,-,43,145,87,3477,9,3065,43,79,2578,8,156,201,403,20,0,0,37,253,93
"교통범죄",소계,408371,2054,263315,189560,637,1804,8605,357,62352,143002,103551,18,12,113,260,39048,377354,1726,256559,183785,669,1587,7799,372,62347,119069,79498,32,25,146,31,39337,348725,1771,249890,173373,792,1704,5958,371,67692,97064,55928,28,62,118,93,40835,308634,1741,214549,144501,770,3893,4322,456,60607,92344,52449,15,60,80,100,39640,241029,1853,154085,84493,820,6822,2101,473,59376,85091,54662,16,63,67,85,30198
"노동범죄",소계,1883,10,569,13,61,278,-,139,78,1304,4,-,-,393,691,216,975,6,364,10,75,144,1,65,69,605,10,-,-,61,450,84,356,2,272,13,59,101,2,44,53,82,3,-,-,20,2,57,406,1,327,6,44,193,-,56,28,78,3,-,-,35,1,39,714,1,353,9,37,196,1,83,27,360,1,0,0,41,276,42
"안보범죄",소계,69,5,37,1,12,19,-,1,4,27,-,-,-,4,-,23,169,3,44,5,18,10,-,6,5,122,-,-,-,23,7,92,216,3,56,14,15,14,-,9,4,157,-,-,-,46,27,84,206,2,78,9,31,21,-,10,7,126,-,-,1,39,8,78,219,0,76,13,24,23,2,7,7,143,2,0,0,33,50,58
"선거범죄",소계,1897,32,1495,56,305,861,3,117,153,370,1,-,-,284,2,83,611,-,410,2,63,308,4,24,9,201,-,-,-,171,1,29,829,47,636,31,72,361,1,81,90,146,2,-,-,97,2,45,274,8,240,5,18,121,1,46,49,26,-,-,-,16,1,9,2969,65,2563,111,270,1290,3,389,500,341,0,8,0,195,0,138
"병역범죄",소계,14271,1,14245,1,45,14190,-,6,3,25,3,-,-,1,-,21,12712,-,12688,-,29,12651,-,7,1,24,3,-,-,-,-,21,3845,-,3822,1,4,3803,1,11,2,23,3,-,-,5,-,15,1823,-,1807,-,4,1801,-,1,1,16,1,-,-,-,-,15,4638,0,4616,0,5,4604,1,4,2,22,0,0,0,0,0,22
"기타범죄",소계,221862,22161,139954,18125,61072,22885,223,14202,23447,59747,8616,135,280,4029,21593,25094,240168,22431,150170,22138,62990,23424,289,15705,25624,67567,8012,106,230,3223,32428,23568,241829,19622,154846,24033,64577,20828,272,19793,25343,67361,7396,63,216,2431,36071,21184,243082,16982,158825,28191,65686,18128,325,22091,24404,67275,6622,39,204,2037,36891,21482,267964,20594,180418,34919,74651,18163,334,25092,27259,66952,6965,38,158,1804,38601,19386
