"범죄별(1)",2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"범죄별(1)",합계,아파트ㆍ연립ㆍ다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소ㆍ 목욕탕,유흥접객업소,사무실,공장,공사장ㆍ광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타,합계,아파트ㆍ연립ㆍ다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소ㆍ 목욕탕,유흥접객업소,사무실,공장,공사장ㆍ광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타,합계,아파트ㆍ연립ㆍ다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소ㆍ 목욕탕,유흥접객업소,사무실,공장,공사장ㆍ광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타,합계,아파트ㆍ연립ㆍ다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소ㆍ 목욕탕,유흥접객업소,사무실,공장,공사장ㆍ광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타,합계,아파트ㆍ연립ㆍ다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소ㆍ 목욕탕,유흥접객업소,사무실,공장,공사장ㆍ광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타
"업무상 과실치사상",3485,62,44,7,381,83,16,42,88,44,330,466,17,20,3,42,22,43,41,1,634,4,53,219,3,1,2,817,3621,79,48,5,439,97,24,61,80,57,353,541,20,13,10,58,22,46,39,2,732,4,65,257,1,-,-,568,3713,92,44,2,438,105,23,62,82,34,445,533,33,13,3,46,39,64,31,-,700,4,73,280,3,1,-,563,3604,73,48,10,486,122,16,57,70,37,430,464,23,16,6,45,27,59,25,2,758,4,73,237,2,-,2,512,3339,95,44,6,466,81,14,48,55,59,443,421,19,18,6,30,20,27,34,-,690,7,71,182,4,2,1,496
"실화",2351,167,215,2,215,40,9,9,51,29,137,26,87,4,-,17,1,17,3,-,4,8,213,27,-,-,1,1069,2409,320,294,6,274,67,45,40,112,37,136,60,45,9,-,15,1,18,15,5,7,9,198,259,-,-,11,426,2333,361,331,3,345,63,62,53,113,32,155,49,93,6,-,22,1,13,12,2,7,15,228,44,-,-,6,317,2386,377,291,2,444,58,61,39,114,34,157,48,103,7,1,17,2,25,17,3,2,8,130,33,-,-,6,407,2283,394,275,3,425,68,59,33,103,40,171,34,75,13,-,16,-,13,7,4,6,6,103,39,-,-,2,394
"주거 침입",11966,2285,2853,-,292,159,53,232,267,337,83,47,52,15,3,5,5,11,115,5,60,81,31,1,2,-,2,4970,13701,4062,4661,-,417,287,165,484,592,500,124,68,82,22,-,18,12,20,193,13,84,141,62,-,1,-,1,1692,17181,5716,5785,2,599,377,171,597,758,614,154,83,91,26,2,17,15,37,230,11,121,182,52,1,3,-,3,1534,18342,6354,6004,2,624,395,209,539,746,630,180,79,118,15,-,24,13,30,200,9,144,155,75,-,6,1,1,1789,18535,6816,5820,-,731,466,187,512,600,551,173,79,116,13,2,19,12,31,221,7,101,129,88,-,1,-,3,1857
"유기",312,20,21,2,12,1,-,1,-,1,-,-,-,-,-,1,-,-,45,-,15,48,-,-,-,-,-,145,332,21,30,-,6,-,-,6,-,1,-,1,-,-,-,-,-,-,53,-,10,166,-,-,-,-,-,38,260,20,21,1,9,2,-,1,1,2,2,-,-,-,-,-,-,1,45,-,17,118,2,-,-,-,-,18,235,20,23,-,6,-,-,-,2,2,1,1,-,-,-,-,-,1,36,-,15,93,1,1,-,-,-,33,273,22,23,1,7,-,-,1,-,3,2,-,-,-,-,2,-,-,76,1,6,75,-,1,-,-,-,53
"경범죄처벌법",6491,311,112,1,1352,56,10,18,191,2242,-,-,-,36,20,14,-,39,4,2,12,4,4,-,-,-,-,2063,6713,373,212,-,1673,101,43,30,445,2978,-,-,-,57,20,35,-,32,8,6,18,7,2,-,-,-,2,671,7638,498,261,-,2301,119,23,60,590,2755,-,1,-,63,26,64,2,64,7,2,18,8,6,-,-,-,-,770,7702,550,272,2,2350,127,43,42,618,2324,2,1,2,69,33,100,1,49,8,9,21,7,8,2,-,-,3,1059,7100,727,338,4,2371,165,34,51,423,1625,2,5,1,58,20,86,1,64,6,9,20,8,9,-,-,-,-,1073
"마약류관리에관한법률(대마)",1087,67,199,-,212,3,3,18,21,25,4,2,-,7,-,18,-,8,1,-,3,-,29,-,-,-,-,467,944,80,123,-,164,5,1,27,24,36,5,-,2,1,-,25,-,7,3,1,5,-,27,1,1,-,-,406,1566,138,151,1,431,10,3,36,43,31,3,1,1,6,-,78,-,7,-,27,4,-,26,-,2,-,1,566,1790,136,252,-,392,19,9,27,38,34,6,-,-,4,2,50,2,5,1,37,6,-,38,-,-,-,1,731,1682,139,159,-,449,8,1,47,15,31,4,-,4,17,-,17,-,4,-,10,8,-,35,-,-,-,-,734
"마약류관리에관한법률(마약)",1305,18,741,-,86,5,1,9,10,4,2,-,1,1,-,-,-,-,-,-,29,1,184,-,-,-,4,209,1283,18,683,-,86,7,3,10,8,4,2,-,-,-,-,4,-,1,-,-,28,3,187,-,-,-,4,235,1437,28,812,1,124,16,3,10,18,11,4,-,-,-,1,7,-,-,1,1,49,1,208,1,-,-,1,140,1899,27,1056,1,219,23,1,9,7,11,1,1,-,-,-,1,-,1,-,-,51,2,293,-,1,-,3,191,1338,35,598,-,134,22,4,18,4,10,5,-,1,3,-,1,-,1,3,-,74,2,234,-,-,-,-,189
"마약류관리에관한법률(향정)",6798,542,668,11,1470,95,26,1071,173,189,20,2,6,63,3,124,-,21,2,73,111,2,10,27,-,4,1,2084,5592,538,555,13,1045,74,14,772,151,165,12,1,2,58,5,130,-,6,3,116,115,2,13,-,1,4,-,1797,6289,680,714,15,1226,77,25,780,164,172,36,2,5,54,4,144,4,19,2,171,149,5,5,1,-,6,-,1829,6916,727,674,4,1164,158,26,816,177,167,60,-,3,50,4,94,2,11,2,184,298,1,5,-,-,1,-,2288,6039,807,675,7,1141,86,25,871,131,116,59,2,3,36,1,74,1,12,5,42,230,1,8,-,-,6,-,1700
"성매매알선등행위의처벌에관한법률",10415,2648,132,-,661,108,188,2329,2614,118,-,-,-,2,-,13,-,1,3,1,-,-,38,-,-,-,-,1559,6978,1756,129,2,480,51,103,1389,2075,84,-,1,-,2,-,17,-,1,-,-,-,-,1,-,-,-,2,885,5241,1414,104,-,220,49,62,778,1836,93,-,-,-,1,-,7,-,3,-,-,-,-,3,-,-,-,-,671,3511,1040,86,-,207,34,48,477,907,82,-,-,-,2,-,10,5,-,-,-,-,1,-,-,-,-,-,612,3221,939,60,1,155,32,38,561,941,94,-,-,-,-,-,6,1,1,1,-,1,-,1,-,-,-,-,389
"아동·청소년의성보호에관한법률(성매수등)",745,54,29,-,128,2,4,293,16,2,-,-,-,-,-,24,-,2,2,-,1,-,-,-,-,-,-,188,345,31,24,-,43,1,2,143,8,2,1,-,-,1,-,6,-,-,1,-,-,-,1,-,-,-,-,81,319,32,11,-,30,4,2,105,12,3,-,1,-,-,-,13,-,1,-,-,-,-,-,-,-,-,-,105,286,31,21,-,43,1,-,100,5,1,-,-,-,1,-,14,-,-,-,-,-,-,-,-,-,-,-,69,338,27,15,-,49,-,9,129,7,2,-,-,-,1,-,16,-,1,1,-,-,-,-,-,-,-,-,81
"아동·청소년의성보호에관한법률(성착취물등)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2684,283,306,-,27,17,-,23,2,174,1,-,1,-,-,1,-,-,2,-,-,-,-,-,4,-,1,1842,1672,229,136,-,46,6,3,16,1,110,-,-,-,-,-,-,-,1,7,-,-,-,-,-,3,-,-,1114
"아동·청소년의성보호에관한법률(음란물등)",491,39,83,-,3,3,-,4,-,58,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,299,993,83,108,-,2,7,-,7,-,41,-,-,-,-,-,1,-,1,2,-,-,-,-,-,-,-,-,741,748,79,66,-,1,2,-,16,-,47,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,535,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
