"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상
"지능범죄",증수뢰,312,-,1,-,43,24,13,19,5,207,347,4,-,3,76,28,10,12,1,213,260,-,-,2,25,11,6,8,4,204,289,-,-,3,25,14,15,8,4,220,402,-,-,1,13,13,11,10,7,347,320,-,-,-,18,11,7,6,1,277
"지능범죄",통화,2794,8,19,89,558,291,306,97,55,1371,1194,8,1,28,211,114,117,37,11,667,980,9,9,27,183,115,95,41,22,479,626,2,6,18,95,67,65,19,17,337,376,5,9,7,62,50,50,19,9,165,452,4,-,14,83,57,52,17,10,215
"지능범죄",문서·인장,12452,190,134,159,2438,1672,603,306,436,6514,12290,152,151,131,2636,1139,410,306,365,7000,11343,174,134,63,1688,747,464,275,290,7508,11533,147,82,74,1547,739,434,292,251,7967,10472,98,31,75,1045,601,384,248,157,7833,11259,87,70,104,953,705,500,335,236,8269
"지능범죄",유가증권인지,217,2,2,1,50,21,17,7,-,117,197,1,1,1,37,14,14,3,3,123,140,-,1,2,27,9,15,7,2,77,84,-,2,2,10,9,2,1,1,57,63,-,1,-,10,10,4,-,3,35,58,-,-,-,10,12,3,2,-,31
"지능범죄",사기,231489,5437,3834,2844,41906,25422,16567,11251,10811,113417,270029,5374,3915,2755,38319,28345,20807,12481,11279,146754,304472,5443,3949,3056,39184,30405,21648,13930,12387,174470,347675,5714,4082,3688,40259,35958,29232,18638,13541,196563,294075,3120,2174,2863,29237,35945,31982,16599,10378,161777,325848,4336,2795,3334,26382,36690,34788,21248,14830,181445
"지능범죄",횡령,50498,2487,2105,2031,6928,5419,5530,5555,5515,14928,55113,2504,2189,2434,7439,5837,6062,6063,5986,16599,58508,2754,2526,2780,6781,6586,6584,6646,6367,17484,58889,2672,2421,2698,6860,6992,6813,6676,6277,17480,50421,1273,1258,2328,5642,6397,6634,6098,5989,14802,60220,2235,1971,3069,6151,7209,7685,7097,6856,17947
"지능범죄",배임,3706,6,2,5,865,240,69,34,17,2468,4344,8,-,6,731,242,57,30,17,3253,4566,3,4,21,1123,277,68,39,8,3023,4092,5,-,4,707,235,65,26,15,3035,3466,-,1,30,350,336,56,25,12,2656,3606,-,1,7,276,123,35,26,12,3126
"풍속범죄",소계,22501,927,723,1133,1900,2006,3142,3239,3089,6342,20162,884,663,856,1380,1663,2579,2676,2680,6781,21153,920,709,887,1582,1713,2577,2543,2750,7472,22632,968,685,798,1620,1630,2524,2548,2771,9088,23360,1113,722,759,1586,1954,2582,3259,2933,8452,27113,1445,1179,963,1778,2347,3358,3381,3672,8990
"풍속범죄",성풍속범죄,13812,647,542,911,1309,1366,2071,1966,1917,3083,14158,703,570,759,1156,1268,1826,1784,1814,4278,13145,736,597,773,1126,1225,1724,1675,1931,3358,14497,818,591,733,1174,1231,1764,1646,1987,4553,16969,949,673,713,1323,1622,2038,2141,2343,5167,22650,1352,1112,922,1614,2080,2744,2866,3227,6733
"풍속범죄",도박범죄,8689,280,181,222,591,640,1071,1273,1172,3259,6004,181,93,97,224,395,753,892,866,2503,8008,184,112,114,456,488,853,868,819,4114,8135,150,94,65,446,399,760,902,784,4535,6391,164,49,46,263,332,544,1118,590,3285,4463,93,67,41,164,267,614,515,445,2257
"특별경제범죄",소계,53356,2105,1589,1444,7412,5641,4915,4607,6160,19483,53994,1973,1489,1307,7011,6198,5867,3867,4887,21395,51400,1688,1426,1333,6702,5340,4802,3768,4320,22021,47826,1527,1239,1329,5766,4786,4248,4062,4070,20799,40708,640,534,993,4320,4235,4008,3759,3070,19149,48615,1090,804,1074,4100,4820,4427,4156,3675,24469
"마약범죄",소계,7501,307,202,148,671,743,853,843,769,2965,6513,263,155,123,529,724,789,658,639,2633,8038,244,214,151,635,773,890,776,674,3681,9186,333,214,176,753,941,1096,832,830,4011,8088,318,246,188,645,758,808,932,858,3335,10331,353,303,218,806,1035,1155,1234,1296,3931
"보건범죄",소계,12561,508,291,108,1360,864,1107,867,1504,5952,11033,477,304,104,934,578,760,745,1382,5749,12570,596,404,140,880,694,1009,893,1747,6207,14595,704,449,162,1159,794,1124,1045,2041,7117,16936,579,334,147,819,796,1206,1089,3321,8645,17749,1096,501,108,1102,673,768,929,4458,8114
"환경범죄",소계,4879,24,35,1011,714,332,298,117,80,2268,4791,21,29,107,770,1048,241,80,73,2422,3877,42,53,117,458,290,190,90,126,2511,3568,14,23,75,411,263,165,61,74,2482,3656,14,22,52,468,231,172,36,23,2638,3477,49,58,115,292,269,185,48,33,2428
"교통범죄",소계,501162,36241,33054,45162,53784,51906,64011,71345,112998,32661,408371,29333,27028,37387,42453,42866,52436,60050,90043,26775,377354,24513,23438,37189,44265,45675,53506,58164,70537,20067,348725,23344,21560,31329,39356,44060,51132,56373,63335,18236,308634,15052,12875,24317,33579,39711,46110,52167,69859,14964,241029,18498,15933,18566,21755,23858,28128,35737,59900,18654
"노동범죄",소계,2862,21,13,7,682,86,71,57,69,1856,1883,9,10,12,131,633,33,26,66,963,975,20,41,80,124,125,117,53,78,337,356,18,5,7,43,24,17,9,24,209,406,2,4,1,34,14,6,15,24,306,714,18,44,42,62,39,62,49,46,352
"안보범죄",소계,98,4,4,5,15,9,7,6,11,37,69,-,1,3,15,6,8,3,5,28,169,2,-,-,10,18,10,3,6,120,216,1,2,2,20,22,10,8,8,143,206,3,5,2,18,14,9,6,9,140,219,5,3,1,13,12,10,10,7,158
"선거범죄",소계,640,17,18,55,127,76,85,58,47,157,1897,25,19,94,325,161,141,135,54,943,611,-,1,22,121,53,34,38,3,339,829,3,7,32,136,79,64,66,26,416,274,1,4,10,26,27,22,9,13,162,2969,24,24,121,297,252,240,171,107,1733
"병역범죄",소계,15327,6,2,30,2206,363,57,56,40,12567,14271,1,-,41,1752,254,58,58,29,12078,12712,3,1,20,1440,285,55,58,19,10831,3845,2,1,8,370,116,17,20,10,3301,1823,1,-,5,131,80,8,12,12,1574,4638,1,1,17,584,166,19,21,22,3807
"기타범죄",소계,234871,10852,9598,10891,34691,22644,23500,20865,27711,74119,221862,10132,9034,10058,28767,18447,18912,17347,22505,86660,240168,10376,9184,9935,31337,22841,20037,18200,22421,95837,241829,9487,10760,10899,30333,24228,21210,19093,21458,94361,243082,7833,8443,11811,25841,23204,21099,21603,21993,101255,267964,8974,11831,12968,25514,28169,24970,21515,23540,110483
