"죄종별(1)",죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
"죄종별(1)",죄종별(2),소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"지능범죄",직권남용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
"지능범죄",증수뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지능범죄",통화,12,6,6,-,-,-,-,-,-,-,-,1,-,-,-,-,4,1,21,4,1,2,-,-,-,1,-,-,-,-,-,-,-,-,3,14,5,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,1,2,4,4,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
"지능범죄",문서·인장,1467,36,3,4,-,-,-,29,20,-,-,165,31,141,2,57,407,608,1307,40,3,1,-,-,-,36,15,-,-,182,31,106,2,43,324,564,1264,43,3,2,-,6,-,32,25,-,-,249,44,189,-,38,340,336,656,32,10,-,-,2,-,20,14,-,-,212,18,100,-,17,244,19,875,41,6,-,-,3,-,32,16,-,1,183,29,180,1,40,351,33
"지능범죄",유가증권인지,12,2,-,1,-,-,-,1,-,-,-,-,-,1,-,-,3,6,2,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"지능범죄",사기,6919,2473,1154,375,55,9,-,880,164,-,4,61,24,271,9,95,1090,2728,8049,2821,1320,304,102,6,-,1089,199,-,3,73,13,380,10,78,1181,3291,9161,3645,1676,369,116,29,2,1453,248,-,5,191,66,587,12,175,1742,2490,6816,3198,1575,272,141,20,2,1188,239,-,2,162,88,490,6,148,1660,823,6744,2964,1495,250,107,14,1,1097,249,-,4,167,59,570,8,170,1628,925
"지능범죄",횡령,1389,148,22,2,-,-,-,124,32,-,-,100,23,221,2,28,215,620,1272,103,9,9,1,-,-,84,23,-,-,80,19,242,-,20,176,609,1299,144,21,14,-,-,-,109,17,-,-,158,20,323,3,22,270,342,981,147,22,11,-,-,2,112,25,-,1,173,17,312,-,40,231,35,1388,221,53,11,-,5,-,152,41,-,1,217,46,416,4,49,323,70
"지능범죄",배임,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"풍속범죄",소계,1590,52,6,10,4,-,-,32,18,-,-,446,31,361,4,24,273,381,1644,43,5,1,2,-,-,35,20,-,-,433,34,387,2,27,341,357,2253,129,27,6,7,3,-,86,35,2,-,875,48,383,6,32,441,302,2666,107,20,4,2,1,-,80,50,2,1,911,54,700,7,43,598,193,3872,140,24,8,3,-,-,105,33,2,3,970,52,1311,13,81,852,415
"풍속범죄",성풍속범죄,1521,43,6,10,-,-,-,27,7,-,-,442,31,358,4,22,261,353,1572,23,4,-,-,-,-,19,8,-,-,429,34,385,2,27,331,333,2162,115,23,5,6,3,-,78,9,2,-,860,47,379,6,32,423,289,2603,93,20,4,-,1,-,68,17,2,1,903,54,700,7,42,593,191,3798,129,24,6,2,-,-,97,19,2,3,958,50,1307,13,77,828,412
"풍속범죄",도박범죄,69,9,-,-,4,-,-,5,11,-,-,4,-,3,-,2,12,28,72,20,1,1,2,-,-,16,12,-,-,4,-,2,-,-,10,24,91,14,4,1,1,-,-,8,26,-,-,15,1,4,-,-,18,13,63,14,-,-,2,-,-,12,33,-,-,8,-,-,-,1,5,2,74,11,-,2,1,-,-,8,14,-,-,12,2,4,-,4,24,3
