"죄종별(1)",죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
"죄종별(1)",죄종별(2),소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"폭력범죄",손괴,663,-,-,-,-,-,-,-,1,2,13,4,-,317,46,7,264,9,714,7,-,-,-,-,-,7,-,-,24,9,2,362,33,8,263,6,808,5,1,-,-,-,-,4,-,-,23,6,-,413,31,6,317,7,826,5,1,-,-,-,-,4,1,2,26,5,-,433,33,9,312,-,996,1,-,-,-,-,1,-,-,29,4,-,537,38,8,378,1
"지능범죄",소계,454,98,29,10,3,-,-,56,20,-,-,4,3,123,2,25,172,7,493,135,46,9,4,1,-,75,13,-,-,8,6,126,3,21,169,12,694,177,69,2,1,-,-,105,17,-,1,10,7,166,3,29,277,7,622,156,71,1,1,1,1,81,13,-,1,12,10,142,-,25,261,2,777,187,61,3,4,3,116,23,-,-,23,5,201,1,25,312,-
"지능범죄",직무유기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지능범죄",직권남용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지능범죄",증수뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지능범죄",통화,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
"지능범죄",문서·인장,6,3,1,-,-,-,-,2,-,-,-,1,-,-,-,1,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,4,-,7,2,-,-,-,-,-,2,-,-,-,-,1,-,-,1,3,-,9,2,2,-,-,-,-,-,-,-,-,1,-,1,-,-,5,-,9,1,-,-,-,-,1,-,-,-,-,-,2,-,1,5,-
"지능범죄",유가증권인지,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-
"지능범죄",사기,261,71,25,8,3,-,-,35,9,-,-,1,1,49,2,8,115,5,253,78,32,5,3,-,-,38,6,-,-,1,1,45,2,9,107,4,398,113,50,1,1,-,-,61,8,-,1,1,3,66,3,14,185,4,345,106,57,1,1,-,-,47,8,-,1,2,3,50,-,14,160,1,383,114,51,3,3,2,55,11,-,-,7,3,67,1,16,164,-
"지능범죄",횡령,185,24,3,2,-,-,-,19,11,-,-,2,2,74,-,16,55,1,231,57,14,4,1,1,-,37,7,-,-,6,5,80,-,12,57,7,287,62,19,1,-,-,-,42,9,-,-,9,3,100,-,14,87,3,265,46,12,-,-,1,1,32,4,-,-,9,7,91,-,11,96,1,380,71,10,-,1,1,59,11,-,-,16,2,132,-,8,140,-
"지능범죄",배임,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-
"풍속범죄",소계,224,9,1,-,-,-,-,8,5,-,-,35,5,70,3,8,84,5,258,4,-,-,-,-,-,4,8,-,-,34,4,98,3,4,98,5,269,8,-,-,-,-,-,8,1,-,-,43,13,79,6,14,101,4,331,7,1,-,-,-,-,6,1,-,-,38,6,102,-,6,171,-,289,5,-,-,-,-,5,1,-,-,30,10,111,2,7,122,1
"풍속범죄",성풍속범죄,221,9,1,-,-,-,-,8,2,-,-,35,5,70,3,8,84,5,249,4,-,-,-,-,-,4,1,-,-,34,4,98,3,4,96,5,260,6,-,-,-,-,-,6,-,-,-,43,13,78,6,14,97,3,330,7,1,-,-,-,-,6,1,-,-,38,6,102,-,6,170,-,284,5,-,-,-,-,5,-,-,-,30,10,111,2,7,118,1
"풍속범죄",도박범죄,3,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,2,-,9,2,-,-,-,-,-,2,1,-,-,-,-,1,-,-,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,5,-,-,-,-,-,-,1,-,-,-,-,-,-,-,4,-
"특별경제범죄",소계,329,18,10,1,-,-,-,7,2,-,-,-,1,144,13,9,139,3,295,19,9,-,-,1,-,9,1,-,-,5,2,124,12,10,122,-,385,14,5,-,1,-,-,8,2,-,1,5,-,182,8,10,162,1,275,21,7,1,-,1,-,12,2,-,-,-,1,115,13,2,121,-,337,18,8,-,-,-,10,1,-,-,2,-,133,15,12,156,-
"마약범죄",소계,171,3,1,-,-,-,-,2,4,-,3,19,39,14,6,6,77,-,169,5,-,-,-,-,-,5,2,-,2,10,37,25,7,4,76,1,342,4,-,-,-,-,-,4,2,-,-,26,80,38,6,5,181,-,282,10,3,-,-,-,-,7,4,1,-,25,70,31,9,8,124,-,279,13,-,-,1,-,12,3,-,-,21,44,38,15,7,138,-
"보건범죄",소계,11,-,-,-,-,-,-,-,-,-,-,-,-,8,-,1,2,-,18,1,1,-,-,-,-,-,-,-,-,-,-,8,1,1,7,-,43,4,1,-,-,-,-,3,-,-,-,-,-,12,1,5,21,-,47,4,4,-,-,-,-,-,-,-,-,-,-,13,-,16,14,-,53,1,1,-,-,-,-,-,-,-,-,-,12,-,2,38,-
"환경범죄",소계,5,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,3,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,11,1,-,-,-,-,1,-,-,-,-,-,-,-,5,5,-
"교통범죄",소계,205,1,-,-,-,-,-,1,-,-,-,6,-,18,1,105,71,3,206,1,-,-,-,-,-,1,-,-,1,1,-,30,1,76,93,3,266,-,-,-,-,-,-,-,-,-,1,6,-,22,-,114,122,1,253,-,-,-,-,-,-,-,1,-,-,4,-,27,1,86,134,-,257,2,1,-,-,-,1,-,-,-,-,-,37,3,91,124,-
"노동범죄",소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"안보범죄",소계,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,-,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"선거범죄",소계,6,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,1,-,-,-,-,-,1,-,-,-,-,-,3,1,-,10,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,15,-,-,-,-,-,-,-,-,-,-,-,7,-,-,8,-
"병역범죄",소계,20,-,-,-,-,-,-,-,-,-,-,-,-,1,1,4,14,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,14,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,4,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,-,11,-,-,-,-,-,-,-,-,-,-,-,1,2,1,7,-
"기타범죄",소계,909,27,7,1,-,-,-,19,4,1,15,23,15,292,28,65,428,11,1038,29,8,1,-,-,-,20,4,-,15,25,11,348,47,83,461,15,1256,37,13,1,-,-,-,23,4,1,26,26,15,417,57,102,560,11,1432,46,28,-,-,-,-,18,3,4,33,15,19,514,47,112,638,1,1658,48,10,-,-,-,38,3,3,34,43,10,556,62,89,810,-
