죄종별(1),죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
죄종별(1),죄종별(2),계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
죄종별(1),죄종별(2),소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
지능범죄,사기,229854,48581,20164,1892,1402,139,309,24675,3677,2,27,291,590,5968,136,5909,49978,114695,246160,54950,22544,1756,1505,142,244,28759,4217,2,15,156,566,6372,141,7422,55488,116831,245009,56910,24476,1921,1705,122,171,28515,4049,-,22,311,651,6496,129,6002,54421,116018,162836,44998,21305,1096,1671,102,146,20678,3128,1,16,268,504,4621,57,3484,40617,65142,169528,44391,21544,1012,1807,142,59,19827,3241,1,34,278,479,5019,92,3343,40391,72259
지능범죄,횡령,35270,5451,1454,106,76,14,47,3754,484,-,8,250,201,4536,20,1123,7327,15870,35163,5614,1430,106,84,12,18,3964,543,1,8,241,189,5074,10,1074,7226,15183,35930,5796,1556,96,78,12,39,4015,483,-,6,341,187,5465,15,1032,7380,15225,27970,4473,1154,62,64,7,18,3168,411,-,3,358,163,5025,18,891,6148,10480,30006,4917,1345,65,64,17,20,3406,426,-,5,429,198,5707,15,972,6620,10717
지능범죄,배임,8209,798,176,5,7,2,4,604,45,-,-,3,12,62,1,213,1541,5534,8151,791,114,7,3,-,1,666,44,-,-,-,8,48,2,169,1343,5746,8324,677,92,6,4,-,3,572,59,-,-,-,6,64,-,175,1283,6060,5690,479,78,5,1,1,3,391,29,-,-,1,10,22,1,95,1092,3961,5625,381,78,2,4,-,3,294,21,-,-,-,5,26,2,88,919,4183
풍속범죄,소계,32183,4671,884,208,118,19,14,3428,7466,1,19,2778,594,4343,65,734,8252,3260,33779,5089,989,143,227,30,7,3693,7587,1,24,3099,504,4835,63,772,8240,3565,34671,5051,648,195,172,34,8,3994,6960,6,37,3651,518,4772,70,741,9097,3768,29030,3336,514,121,100,8,3,2590,4377,6,22,3090,523,5559,64,605,8000,3448,30991,2760,421,62,138,6,4,2129,3340,4,27,2844,414,7556,98,611,8427,4910
풍속범죄,성풍속범죄,12713,1334,460,21,2,4,4,843,57,1,18,2351,378,2971,55,385,3370,1793,12473,1032,408,4,1,1,4,614,93,1,23,2288,310,3094,50,342,3300,1940,13546,746,208,16,7,5,3,507,73,6,27,2968,378,3209,67,366,3671,2035,14549,487,95,9,2,3,3,375,88,6,21,2721,454,4187,59,368,4104,2054,19351,567,116,12,3,3,2,431,67,4,26,2615,371,6529,97,449,4963,3663
풍속범죄,도박범죄,19470,3337,424,187,116,15,10,2585,7409,-,1,427,216,1372,10,349,4882,1467,21306,4057,581,139,226,29,3,3079,7494,-,1,811,194,1741,13,430,4940,1625,21125,4305,440,179,165,29,5,3487,6887,-,10,683,140,1563,3,375,5426,1733,14481,2849,419,112,98,5,-,2215,4289,-,1,369,69,1372,5,237,3896,1394,11640,2193,305,50,135,3,2,1698,3273,-,1,229,43,1027,1,162,3464,1247
특별경제범죄,소계,75348,12467,5055,71,15,23,31,7272,634,15,41,113,224,11936,582,4626,22796,21914,79175,13358,4693,62,8,9,41,8545,834,16,41,102,219,12635,668,5969,23701,21632,67904,10654,3811,47,10,6,8,6772,553,12,40,114,144,11326,534,4075,20043,20409,46846,6902,2701,34,19,24,7,4117,345,14,27,79,97,8469,389,2467,13504,14553,50673,7290,2948,44,9,15,14,4260,364,14,19,105,87,8984,425,2442,13616,17327
마약범죄,소계,7677,424,122,9,1,2,3,287,67,-,12,612,1209,686,108,717,3043,799,9875,659,206,16,8,2,-,427,77,2,23,1081,1319,880,141,716,4012,965,11630,673,252,14,2,4,1,400,87,-,19,1207,1217,1067,155,970,5193,1042,10173,684,191,11,2,2,-,478,83,1,13,1210,965,995,137,615,4420,1050,11948,776,203,8,3,6,1,555,104,-,11,1492,1027,1284,149,757,5411,937
보건범죄,소계,16965,3878,1786,-,1,1,32,2058,148,-,-,8,27,767,9,2155,7058,2915,18024,4714,2330,9,-,-,24,2351,175,1,3,23,22,672,18,2167,7328,2901,21810,4629,2107,3,2,2,23,2492,170,-,3,13,33,724,47,3046,9358,3787,38943,6229,3092,7,-,-,11,3119,339,-,4,138,416,2033,24,7541,17778,4441,56720,4856,2329,15,2,2,16,2492,468,-,10,151,315,2857,67,12253,28652,7091
환경범죄,소계,4066,399,110,-,-,-,1,288,8,-,-,7,10,45,1,1220,1738,638,5088,656,209,1,-,-,6,440,35,-,1,5,8,86,8,1446,2080,763,4329,528,135,-,-,-,2,391,17,-,-,4,-,70,3,996,2039,672,3853,314,133,-,-,-,1,180,23,-,-,4,-,56,-,1085,1859,512,3689,331,112,-,-,-,-,219,24,-,-,10,-,65,2,1007,1743,507
교통범죄,소계,413147,992,220,8,-,2,4,758,233,2,88,606,730,25804,108,137464,109571,137549,383717,652,198,1,1,4,3,445,255,2,89,701,469,24602,70,124880,85838,146159,356446,603,229,4,-,19,1,350,254,1,86,1426,488,25588,78,112601,79180,136141,311232,592,231,2,-,11,3,345,251,2,74,1691,408,24994,127,102147,73290,107656,240216,585,161,1,1,5,-,417,196,1,76,1546,464,28405,103,99616,76020,33204
노동범죄,소계,2073,693,277,1,-,-,-,415,43,-,1,-,4,49,1,223,819,240,865,324,168,-,-,-,2,154,7,-,-,-,1,20,1,80,261,171,613,161,75,-,-,-,4,82,7,-,-,-,-,10,-,60,242,133,670,134,59,1,-,-,-,74,6,-,-,2,2,9,-,83,333,101,617,176,58,1,-,-,2,115,5,-,1,-,-,12,-,79,244,100
안보범죄,소계,187,61,41,-,-,-,-,20,7,-,-,-,7,4,6,2,49,51,545,287,51,8,-,-,-,228,7,-,-,1,-,6,7,10,142,85,678,346,144,8,-,-,-,194,10,-,-,2,18,10,4,5,206,77,739,284,95,5,-,-,-,184,13,-,-,-,2,7,8,1,205,219,682,261,62,1,1,15,-,182,18,-,-,-,-,2,8,3,321,69
선거범죄,소계,3280,125,6,-,-,-,1,118,11,-,2,8,6,171,31,448,1462,1016,1180,82,-,-,-,-,-,82,-,-,-,-,13,131,4,65,548,337,1545,53,1,-,-,2,-,50,5,-,1,3,1,108,45,78,664,587,312,14,-,-,-,-,-,14,-,-,-,1,-,25,8,30,102,132,3767,170,19,1,-,1,-,149,6,-,-,34,1,328,41,350,1562,1275
병역범죄,소계,13254,288,160,-,-,-,4,124,13,-,19,4,3,269,64,4191,7788,615,11809,240,118,-,-,-,1,121,10,-,18,2,2,247,55,4049,6626,560,3164,71,26,-,-,-,-,45,6,-,6,-,3,89,31,827,1844,287,1395,33,17,-,-,-,-,16,-,-,3,-,1,50,20,337,853,98,3909,76,36,-,-,-,-,40,3,-,11,-,2,110,31,1279,2266,131
기타범죄,소계,247023,26807,10751,138,71,59,520,15268,1904,39,1471,1801,955,27303,1678,29874,81284,73907,256000,26156,9736,111,58,69,177,16005,2538,28,1793,1907,920,30075,1781,31793,80290,78719,244539,21189,7934,116,35,34,74,12996,1840,62,1911,1868,700,29845,1716,29927,77958,77523,221198,16827,6329,76,70,33,78,10241,1440,64,3375,2117,615,31183,1452,26603,74596,62926,233413,16219,6720,85,36,42,68,9268,1285,77,3079,2457,986,35400,1592,27378,75090,69850
